Name,Code
Atakumosa East, OS01
Ayeda-Ade, OS01
Ayedire, OS01
Bolawaduro, OS01
Boripe, OS01
Ede, OS01
Ede North, OS01
Egbedore, OS01
Ejigbo, OS01
Ife North, OS01
Ife Central, OS01
Ife South, OS01
Ife East, OS01
Ifedayo, OS01
Ifelodun, OS01
Ilesha West, OS01
Ila-Orangun, OS01
Ilesha East, OS01
Irepodun, OS01
Irewole, OS01
Isokan, OS01
Iwo, OS01
Obokun, OS01
Odo-Otin, OS01
Ola Oluwa, OS01
Olorunda, OS01
Oriade, OS01
Orolu, OS01
Osogbo, OS01
Afijio, OY01
Akinyele, OY01
Atiba, OY01
Atigbo, OY01
Egbeda, OY01
Ibadan, OY01
Ibadan North East, OY01
Ibadan Central, OY01
Ibadan South East, OY01
Ibadan West South, OY01
Ibarapa East, OY01
Ibarapa North, OY01
Ido, OY01
Ifedapo, OY01
Ifeloju, OY01
Irepo, OY01
Iseyin, OY01
Itesiwaju, OY01
Iwajowa, OY01
Iwajowa Olorunshogo, OY01
Kajola, OY01
Lagelu, OY01
Ogbomosho North, OY01
Ogbomosho South, OY01
Ogo Oluwa, OY01
Oluyole, OY01
Ona Ara, OY01
Orelope, OY01
Orire, OY01
Oyo East, OY01
Oyo West, OY01
Saki East, OY01
Saki West, OY01
Surulere, OY01
Barkin Ladi, PL01
Bassa, PL01
Bokkos, PL01
Jos North, PL01
Jos East, PL01
Jos South, PL01
Kanam, PL01
Kiyom, PL01
Langtang North, PL01
Langtang South, PL01
Mangu, PL01
Mikang, PL01
Pankshin, PL01
Qua'an Pan, PL01
Shendam, PL01
Wase, PL01
Abua/Odual, RI01
Ahoada West, RI01
Akuku-Toru, RI01
Andoni, RI01
Asari-Toru, RI01
Bonny, RI01
Degema, RI01
Eleme, RI01
Emohua, RI01
Etche, RI01
Gokana, RI01
Ikwerre, RI01
Oyigbo, RI01
Khana, RI01
Obio/Akpor, RI01
Ogba/Egbema/Ndoni, RI01
Ogu/Bolo, RI01
Okrika, RI01
Omumma, RI01
Opobo/Nkoro, RI01
Port Harcourt, RI01
Tai, RI01
Binji, SO01
Bodinga, SO01
Dange/Shuni, SO01
Gada, SO01
Goronyo, SO01
Gudu, SO01
Gwadabawa, SO01
Illela, SO01
Kebbe, SO01
Kware, SO01
Rabah, SO01
Sabon Birni, SO01
Shagari, SO01
Silame, SO01
Sokoto South, SO01
Sokoto North, SO01
Tambuwal, SO01
Tangaza, SO01
Tureta, SO01
Wamakko, SO01
Wurno, SO01
Yabo, SO01
Ardo Kola, TA01
Bali, TA01
Donga, TA01
Gashaka, TA01
Gassol, TA01
Ibi, TA01
Jalingo, TA01
